title,rating,travelDate,publishedDate,text
Simply  Awesome....in one word Mind-blowing,5,2024-02,27-02-2024,From the best Check in experience  courtesy Yamini and Megha to the entire stay....an overall amazing  experience Thank  you Team Taj Krishna...you guys are the best!!!  The team at the Taj lounge also went out ofctheir way to make our experience  great!
Appreciation for Mr. Angad and Mr. Karim,5,2024-02,27-02-2024,"Went for official purpose was amazed to see the hospitality shown by Mr. Angad and Mr. Karim
Delighted by the experience.
They left no stone unturned to make my experience wonderful
The kind of welcome done by the staff was unbelievable 
Kudos to the staff."
Extremely comfortable stay,5,2024-02,27-02-2024,Our stay was extremely comfortable and enjoyable. The entire team was extremely warm and went out of their way to make the stay so enjoyable. We were given an early check in as well as an upgrade. What we found really commendable was the fact that the team was so warm and went above and beyond to ensure that every request was taken care of and the stay was so perfect in every way. Kudos to the team!! Keep it up Taj Krishna. Look forward to visiting again!!
Wonderful day,5,2024-02,27-02-2024,It was a wonderful day in taj Krishna and excellent service by Yamini from reception. I had stayed hear for little time only but impressed plot by their gestures and hospitality tq so much for the wonderful service  and tq so much Yamini for ur service
Wonderful stay,5,2024-02,27-02-2024,It was a wonderful stay. The food and the ambiance was very nice. Special thanks to Mr Ajay who took care of our stay and made all the efforts to make our stay comfortable. The housekeeping department was extremely sweet and were extremely good with their work.
Good,5,2024-02,26-02-2024,"Food was soo good in encounter stay was comfortable really like the checking and check out process will come back soon would like to mention Megha, Ritu, Mohith, Mamta,Vincent, Pravin,  Pranith,  janvi,Raju,Raghu they are really good overall good stay and comfortable"
Outstanding,5,2024-02,26-02-2024,"Really appreciate the coordination of the team especially Front desk Really appreciate Vincent,Megha,Pranith,Ritu,Mohith,Mamta,Pravin they are rock 

The food and grand ball room was so good Really no need for worries 
Best regards to taj krishna"
Amazing wonderful hotel the services employees everyone is very nice,5,2024-01,26-02-2024,Thank you very much Ajay for making our stay comfortable it's all thanks to you for making sure that we are happy comfortable in taj Krishna the way you took care of us that was very nice .Even if your busy you meet your guest you make them comfortable your gesture your way to talk with people is just very nice I am impressed and from now onwards I think whenever I will come in Hyderabad I am going to stay in taj Krishna. Thank you Ajay amazing person you are .
Ajay thank you very much your the star of this hotel .,5,2024-02,26-02-2024,"Taj Krishna hotel is very nice and I must say this there was Ajay who is just not only the employee in Taj Krishna but this boy  really loves his hotel and guest, I want to say this the respect which we got from Ajay is just unforgettable and I will always remember this hotel and Ajay for making our stay comfortable ."
Superb service amazing people amazing hotel.,5,2024-02,26-02-2024,"Amazing service amazing people in taj krishna this is my personal experience, I really want to thank Ajay who works in taj krishna he is amazing person very kind polite the way he talks respectfully with everyone and because of him I think my stay was super amazing I didn't expect that but i had a super comfortable stay in taj krishna , thank you so much ajay for making sure that my stay is comfortable in taj."
Amazing service amazing employee like Ajay . East west raj krishna is the besttttt.,5,2024-02,26-02-2024,Taj Krishna is the bestest one to stay it's all because of the employees hard work such as Ajay . I must say this person is amazing every time I stay in Hyderabad taj Krishna I feel relieved and I feel comfortable as I know in this hotel such people work who are always there for there guest like Ajay. Thank you very much Ajay and taj Krishna for making our stay memorable comfortable.
Amazing Stay! Good Hospitality.,5,2024-02,26-02-2024,"We've been regular guests at Hotel Krishna and each visit reaffirms why we keep coming back. The hospitality and care provided by Renu, Ajay, Dominic, Taniya, Yamini and the entire team make our stay thoroughly enjoyable. Their dedication to ensuring our comfort is evident in every interaction. The warm ambiance and exceptional service create a welcoming atmosphere that makes us feel valued as guests. We truly appreciate the efforts of everyone at Hotel Krishna and look forward to many more memorable stays."
Good experience,5,2024-02,25-02-2024,"To be very honest I don’t know how to tell the stay was so comfortable Megha help in check-in Mamta in escorting , Ritu , Vincent , Mohith and Pravin just this team was so good even the food was good 
Really appreciate the hospitality 
Thank you for helping"
Comfortable and friendly stay,5,2024-02,25-02-2024,"This is my second stay at Taj Krishna, Banjara Hills. Love the place, atmosphere and  there  friendly staff. 
Breakfast has choices of Indian vegetarian, non veg, western or order to make your favorite dishes. Every item is delicious.
Breakfast room staff is extra ordinary. Courteous, helpful, respectful and attentive to your needs. 
I would like to mention Fahad , a supervisor that works shoulder to shoulder with his staff. 
Gopi Ram Jr Sous Chef, makes excellent Mughal dishes and serves with a big and happy smile.
Dominic , senior staff supervisor is always busy taking care of the guests.

Rest of the staff is also very attentive and helpful.

I am here for 3 weeks. My last visit in January 2023 was for 4 weeks and  I felt at home away from home at TAJ KRISHNA , Banjara Hills. 
You can also experience your stay here if you are planning to visit Hyderabad a beautiful and vibrant city , a mixture of old culture, new and modern  styles. The best city to visit and explore
And ofcourse my recommendation for stay is Taj Krishna Banjara Hills"
Hyderabad,5,2024-02,25-02-2024,"I had a wonderful stay at the hotel. The staff were incredibly polite and professional, making me feel genuinely welcome and attended to. The overall experience was very comfortable, and the delicious food added an extra layer of enjoyment to my stay. I look forward to visiting again in the future."
Marvellous,5,2024-02,25-02-2024,My Ajay &Mr jitesh  from floors department are  so sweet kind and helpfull me and my roomate we were sleeping and skipped the buffet timings but still because of Mr Ajay and Mr jitesh they arranged some sandwiches for us it was so kindly of them &i really enjoyed a sweet conversation with Mr Ajay very concerned person and kudos to the whole housekeeping mr saroj is so helpful he helped us  with all the toiletries such a great personality I was a really great stay with taj Krishna.
Good,5,2024-02,24-02-2024,"The stay ia bit awesome and as a family we enjoyed it. The hoapitality is as usual awesome. Thanks to Tan Krishna team. Appreciate your work. Food and everything was soo good thanks to front office team specially Megha, Mohith, Mamta, Ritu, Vincent, Piyush, Vincent"
"Beautiful hotel, awesome gardens, convenient location and great stay.",5,2024-02,24-02-2024,"It’s always a pleasure and a wonderful experience staying at Taj.  The rooms are beautiful. Efficient and professional staff. Clean and hygienic service and great food and awesome breakfast that I’d not miss. Check in and check out is fast and easy. 
Stunningly maintained gardens and beautiful views from my room."
Excellent,5,2024-02,23-02-2024,"Excellent experience. Food was delicious and service was brilliant. Pool is sometimes closed a little early which means you miss using it in the evening. Gym is open 24 hours. Staff are very attentive, in particular Yanina was extra helpful"
F&b service,5,2024-02,22-02-2024,"Thank you so much for making our stay very comfortable.. I would like to specially thanks to Karim to take care of us very well, he always make sure we got our food on time as well as he is very approachable.. thanks to everyone for amazing hospitality and made our stay very enjoyable....happy to visit again"
Great stay at Taj,5,2024-02,22-02-2024,"I had an absolutely fantastic stay at Krishna! The hospitality was unparalleled, starting with the warm welcome and the beautiful traditional aarti ceremony. A big thank you to Ms. Ritu, Tania, and Yamni for making me feel so special upon my arrival.The housekeeping was impeccable, with the rooms always kept clean and tidy. Huge appreciation to Ajay and his team for their outstanding efforts.And let's talk about the food, it was simply amazing! Mr. Domic and Kareem, thank you for the culinary delights that made my stay even more memorable.Overall, my experience at Krishna was exceptional, thanks to the wonderful team who made me feel at home. I can't wait to visit again!"
Late night dinner in taj Krishna,5,2024-01,22-02-2024,"I had dinner in taj krishna, the food was good, and very good alcoholic beverages as well, the manager was ao friendly and yamini assisted well thanks for the effort, everything was soo smooth. Thank you taj I would love to visit again with my family and friends."
Thank you Taj Krishna for the amazing day,5,2023-12,22-02-2024,"I went to Taj Krishna on the occasion of my birthday, I spend a day there everything was good. And desserts were amazing, special mention yamini thank you for the suggestion, I thought it would be a regular brunch, but it was far better than what I expected."
Best Hotel in Hyderabad Banjara hills and super comfy stay,5,2024-02,21-02-2024,"Super helpful staff and excellent service. Being a Epicure Preferred and Taj Silver member I found it one of great hotels run by professional service. Thanks for wonderful time!

Highly recommended for super location and excellent property."
Excellent Hospitality and amazing guest service,5,2024-02,21-02-2024,"Experience excellence at Taj Krishna, Hyderabad! We thoroughly enjoyed our time at Krishna. Ritu's gracious welcome, coupled with the impeccable service from Yamini, Tania, and Ajay, made our stay truly remarkable. Special thanks to Aviyas from in-room dining,  Sharath and Chef Calvin from the restaurant for their attentive care throughout our visit. The delectable cuisine and cozy rooms made our stay truly unforgettable. Kudos to the wonderful management and staff for making our stay a memorable one."
Business brunch in taj Krishna,5,2023-11,21-02-2024,"I came to taj with my manager and had lunch there, the food was nice and i loved the ambiance as well.
We covered all the aesthetics of taj Krishna with the help of yamini, thanks for the time yamini, she might be the hotel receptionist, but she knew each corner of taj Krishna."
Wonderful 👍 job . Keep continuing the good work with the support extended to each one,5,2024-02,20-02-2024,Wonderful experience.. Kudos to team Taj Krishna Hyderabad. Keep inspiring the greatness of Taj . Looking forward for the continual support . Supporting staff Yamini done a good welcome gesture on arrival. Team Taj Good job done . Keep continuing the good work ahead.
Experience of Excellence,5,2024-02,20-02-2024,"I started writing this feedback with ""My stay at Taj Krishna..."" but deleted it as I don't think it was a mere stay and feedback of how comfortable the rooms were, and how good the food was. It cannot be about what I liked and didn't like too. It is the Taj, They are for sure top-notch.
Once you enter the premises of Taj Krishna, Hyderabad, take that U-turn from the signal before its main entrance while coming from a long-delayed flight and a cab ride of about 50 minutes from the airport it is a whole different world. You don't experience the hospitality after you check in to your room or when you reach the reception. It starts from the very main entrance. The environment just after the main entrance is an invitation to the excellence of everything we will experience. The entrance to the main lobby, how the luggage was handled, everything had a touch of care. Check-in was smooth and was made easy with the booking, but the way we were welcomed was as if they were waiting for us only. Small little details are what make the big difference in any business sector and that was there. My father and mother were traveling with me and they appreciated every one of them. I would like to thank Megha, Mohith, and Vincent for taking care of those small details. I have been welcomed at multiple hotel lobbies with some garlands, bouquets, welcome drinks, and even the kumkum tilak on my forehead. I was welcomed here with a tilak on my forehead but what was accompanying it was nice. Megha put that tilak and said ""It is for your good health"" 
We had our dinner at Firdaus, well almost all the main meals, lunch and dinner, there only and the team of Mr. Kenneth Reddy, Farhat, Jennifer, Manas, G. L. Reddy and the chefs who were behind the food that were served made us feel to come back again during any stay at Taj. 
Rather than feedback, I would like to call it a thank-you note to all of you!"
A day in taj krishna,4,2024-02,20-02-2024,"The atmosphere at taj Krishna was amazing and the food is delight. Thank you Yamini for the amazing hospitality, she took the time and effort to show the aesthetics of taj krishna. The amenities provided are great. Had a great experience and would love to visit again"
